"88523363_0_8180214313099580515","0","1","Abutilon_indicum"
"88523363_0_8180214313099580515","0","2","Abutilon_theophrasti"
"88523363_0_8180214313099580515","0","3","Acacia_aulacocarpa"
"88523363_0_8180214313099580515","0","4","Acacia_auriculiformis"
"88523363_0_8180214313099580515","0","6","Acacia_confusa"
"88523363_0_8180214313099580515","0","7","Acacia_crassicarpa"
"88523363_0_8180214313099580515","0","8","Acacia_forrestiana"
"88523363_0_8180214313099580515","0","9","Acacia_glaucoptera"
"88523363_0_8180214313099580515","0","10","Acacia_longifolia"
"88523363_0_8180214313099580515","0","11","Acacia_mangium"
"88523363_0_8180214313099580515","0","12","Acacia_mearnsii"
"88523363_0_8180214313099580515","0","13","Acacia_melanoxylon"
"88523363_0_8180214313099580515","0","14","Acacia_nitidula"
"88523363_0_8180214313099580515","0","17","Acanthocereus_tetragonus"
"88523363_0_8180214313099580515","0","18","Acmella_uliginosa"
"88523363_0_8180214313099580515","0","19","Adiantum_raddianum"
"88523363_0_8180214313099580515","0","20","Aeschynomene_americana"
"88523363_0_8180214313099580515","0","21","Aeschynomene_indica"
"88523363_0_8180214313099580515","0","22","Agave_palmeri"
"88523363_0_8180214313099580515","0","23","Agave_striata"
"88523363_0_8180214313099580515","0","24","Ageratina_riparia"
"88523363_0_8180214313099580515","0","25","Ailanthus_altissima"
"88523363_0_8180214313099580515","0","26","Ajuga_reptans"
"88523363_0_8180214313099580515","0","27","Albizia_chinensis"
"88523363_0_8180214313099580515","0","28","Albizia_lebbeck"
"88523363_0_8180214313099580515","0","29","Alstonia_macrophylla"
"88523363_0_8180214313099580515","0","30","Alternanthera_caracasana"
"88523363_0_8180214313099580515","0","31","Alternanthera_philoxeroides"
"88523363_0_8180214313099580515","0","32","Alternanthera_pungens"
"88523363_0_8180214313099580515","0","33","Alternanthera_sessilis"
"88523363_0_8180214313099580515","0","34","Amaranthus_cruentus"
"88523363_0_8180214313099580515","0","35","Amaranthus_dubius"
"88523363_0_8180214313099580515","0","36","Amaranthus_hybridus"
"88523363_0_8180214313099580515","0","38","Amaranthus_spinosus"
"88523363_0_8180214313099580515","0","40","Anagallis_arvensis"
"88523363_0_8180214313099580515","0","41","Andropogon_gayanus"
"88523363_0_8180214313099580515","0","42","Andropogon_glomeratus"
"88523363_0_8180214313099580515","0","43","Andropogon_virginicus"
"88523363_0_8180214313099580515","0","44","Araujia_sericifera"
"88523363_0_8180214313099580515","0","45","Archontophoenix_alexandrae"
"88523363_0_8180214313099580515","0","46","Ardisia_crenata"
"88523363_0_8180214313099580515","0","47","Ardisia_elliptica"
"88523363_0_8180214313099580515","0","48","Argyreia_nervosa"
"88523363_0_8180214313099580515","0","52","Arundo_donax"
"88523363_0_8180214313099580515","0","53","Asclepias_curassavica"
"88523363_0_8180214313099580515","0","54","Asparagus_densiflorus"
"88523363_0_8180214313099580515","0","56","Averrhoa_bilimbi"
"88523363_0_8180214313099580515","0","58","Azadirachta_indica"
"88523363_0_8180214313099580515","0","59","Baccharis_halimifolia"
"88523363_0_8180214313099580515","0","60","Chaenostoma_cordatum"
"88523363_0_8180214313099580515","0","61","Barleria_lupulina"
