"v10_1236","0","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"v10_1236","1","Swimmer Person Athlete"
"v10_1236","2","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"v10_1236","3","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"v10_1238","0","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"v10_1238","1","Swimmer Person Athlete"
"v10_1238","2","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"v10_1238","3","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"v10_1207","0","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"v10_1207","1","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"v10_1207","2","Person Athlete"
"v10_1207","3","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"v10_8","0","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_8","1","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_8","2","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_8","3","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_8","4","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_116","0","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_116","1","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_116","2","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_116","3","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_116","4","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_11","0","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_11","1","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_11","2","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_11","3","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_11","4","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_6","0","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_6","1","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_6","2","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_6","3","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_6","4","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_113","0","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_113","1","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_113","2","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"v10_113","3","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
