"List_of_Teen_Wolf_characters#Jackson_Whittemore#3","1","Person"
"List_of_Degrassi:_The_Next_Generation_characters#Dean#0","0","FictionalCharacter Person"
"List_of_minor_planets:_12001%E2%80%9313000#301#0","0","Location Place CelestialBody Planet"
"List_of_minor_planets:_8001%E2%80%939000#601#0","0","Location Place CelestialBody Planet"
"List_of_minor_planets:_11001%E2%80%9312000#501#0","0","Location Place CelestialBody Planet"
"3001%E2%80%934000#0","0","Location Place CelestialBody Planet"
"List_of_gairaigo_and_wasei-eigo_terms#0","2","Band Organisation Group"
"List_of_United_States_Supreme_Court_cases_by_the_Rehnquist_Court#0","0","Sales UnitOfWork SupremeCourtOfTheUnitedStatesCase LegalCase Case Activity"
"List_of_songs_written_by_Irving_Berlin#0","0","MusicalWork Work"
"List_of_Nintendo_3DS_games#Nintendo_3DS_Download_Software#0","0","Work VideoGame Software"
"List_of_fictional_medicines_and_drugs#Recreational#0","0","MusicalWork Album Work"
"List_of_fictional_medicines_and_drugs#Recreational#1","0","MusicalWork Album Work"
"Index_of_Advanced_Dungeons_%26_Dragons_1st_edition_monsters#TSR_2016_-_Monster_Manual_II_.281983.29#0","0","Wikidata:Q11424 Work Film"
"Socialist_Party_of_Great_Britain_debates#0","1","MemberOfParliament Politician Person"
"List_of_places_in_Pennsylvania:_W%E2%80%93X#0","0","Place Location Settlement PopulatedPlace"
"List_of_DC_Comics_characters:_A#0","0","ComicsCharacter FictionalCharacter Person"
"List_of_places_in_Pennsylvania:_C#0","0","Place Location Settlement PopulatedPlace"
"1218","0","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"1218","1","Person Athlete"
"1218","2","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"1218","3","Person Athlete"
"1218","4","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"List_of_Italian_football_transfers_summer_2013_(July)#0","1","SoccerPlayer Person Athlete"
"1209","0","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"1209","1","WinterSportPlayer Skater Person Athlete"
"1209","2","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"1209","3","WinterSportPlayer Skater Person Athlete"
"1209","4","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"1205","0","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"1205","1","Swimmer Person Athlete"
"1205","2","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"1205","3","Swimmer Person Athlete"
"1205","4","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"1201","0","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"1201","1","Person Athlete"
"1201","2","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"1201","3","Person Athlete"
"1201","4","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"National_Register_of_Historic_Places_listings_in_Coconino_County,_Arizona#0","1","ArchitecturalStructure Building Location Place"
"National_Register_of_Historic_Places_listings_in_Coconino_County,_Arizona#0","5","City Location Place PopulatedPlace Settlement"
"State_highways_serving_Virginia_state_institutions#393#0","3","University College Organisation EducationalInstitution"
"1208","0","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"1208","1","Swimmer Person Athlete"
"1208","2","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"1208","3","Swimmer Person Athlete"
"1208","4","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"2009%E2%80%9310_Biathlon_World_Cup_%E2%80%93_Overall_Men#2","1","WinterSportPlayer Skier Person Athlete"
"1220","0","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"1220","1","Person Athlete"
"1220","2","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"1220","3","Person Athlete"
"1220","4","Event SportsEvent SocietalEvent Olympics PenaltyShootOut OlympicEvent"
"List_of_museums_in_Utah#0","0","Building Location Museum Place ArchitecturalStructure"
"List_of_schools_in_New_Brunswick#Riverview_Middle_School#0","0","Organisation School EducationalInstitution"
"7","0","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"7","1","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
"7","2","Diocese Location Place Region PopulatedPlace ClericalAdministrativeRegion AdministrativeRegion"
